webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210756,扩大经营,本人经营的酒吧现要扩大经营需资金周转。望审批！,250000,15,24,0,1,2,2,2,4,0,0,0,0,0,0,0,0,7,1,0,0,0,10,1,51,2,0,0,0,0,0
http://www.we.com/loan/210757,想在阿里巴巴做批发布料,想做批发布料 直接厂家直销 现在淘宝做零售兼批发 想在阿里巴巴批发布料,80000,12,9,0,1,3,1,2,1,0,0,8000,0,0,0,0,0,5,1,0,1,0,0,0,33,2,1,0,0,0,0
http://www.we.com/loan/210758,购买婚庆摄像设备，借款,本人位于合肥市蜀山区上班，总公司位于广州科学城，京信通信上市公司，每月固定收入约5000元，绝对诚信可靠，按时还款，由于最近需和朋友合伙做婚庆摄像生意，购买设备需短期资金周转，望给予支持，谢谢大家。,5000,15,6,0,1,2,3,1,4,1,0,11000,11000,8987,8987,9,1,4,1,0,0,0,8,4,34,2,0,0,0,0,0
http://www.we.com/loan/210759,生产旺季申请贷款用于周转,工薪阶层个人创业，用于购买货车一辆，以及支付快递加盟费,200000,15,24,0,1,2,2,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,16,4,37,4,0,0,0,0,0
http://www.we.com/loan/210760,资金周转,短期资金周转，购买原材料及机器设备，扩大经营,100000,12,9,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http://www.we.com/loan/210761,购买货物/原材/设备,公司职员，现居山东省潍坊市，从事金融业行业，工作收入稳定，贷款用于购买货物/原材/设备。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,46700,13.2,36,2,6,3,1,2,1,1,1,0,46700,0,0,0,0,3,1,0,0,0,17,1,37,1,0,1,0,0,1
http://www.we.com/loan/210762,装修,公司职员，现居江苏省苏州市，从事制造业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,62200,13.2,36,1,6,2,2,1,1,1,0,62200,62200,18908.8,0,0,0,4,1,1,0,0,8,1,32,1,0,0,0,0,0
http://www.we.com/loan/210763,装修,公司职员，现居江苏省苏州市，从事制造业行业，工作收入稳定，贷款用于装修。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,62200,13.2,36,2,6,1,1,1,1,1,1,0,62200,0,0,0,0,4,1,1,0,0,8,1,32,1,0,1,0,0,1
http://www.we.com/loan/210764,日常生活消费,公司职员，现居江苏省苏州市，从事租赁和商务服务业行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,61500,13.2,36,2,6,2,3,1,1,1,1,0,61500,0,0,0,0,6,1,1,1,1,20,1,32,1,0,0,0,0,0
http://www.we.com/loan/210765,做生意,公司职员，现居山东省青岛市，从事批发和零售业行业，工作收入稳定，贷款用于做生意。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,77800,13.2,36,1,6,3,2,2,1,1,0,77800,77800,23651.2,0,0,0,4,1,1,1,1,18,1,37,1,0,1,0,0,1
http://www.we.com/loan/210766,资金周转,公司职员，现居江苏省苏州市，从事公共管理、社会组织和国际组织行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,68900,13.2,36,2,6,3,4,2,2,2,2,0,244400,0,0,0,0,4,1,0,1,0,6,1,32,1,0,1,0,0,1
